,docs,category
0,sport pertains to any form of physical activity or game often competitive and organized that aims to use maintain or improve physical ability and skills while providing enjoyment to participants and in some cases entertainment to spectators sports can through casual or organized participation improve participants physical health hundreds of sports exist from those between single contestants through to those with hundreds of simultaneous participants either in teams or competing as individuals in certain sports such as racing many contestants may compete simultaneously or consecutively with one winner in others the contest a match is between two sides each attempting to exceed the other some sports allow a tie or draw in which there is no single winner others provide methods to ensure one winner a number of contests may be arranged in a tournament producing a champion many sports leagues make an annual champion by arranging games in a regular sports season followed in some cases by playoffs sport is generally recognised as system of activities based in physical athleticism or physical dexterity with major competitions such as the olympic games admitting only sports meeting this definition other organisations such as the council of europe preclude activities without a physical element from classification as sports however a number of competitive but activities claim recognition as mind sports the international olympic committee through arisf recognises both chess and bridge as bona fide sports and sportaccord the international sports federation association recognises five sports bridge chess draughts checkers go and xiangqi and limits the number of mind games which can be admitted as sports sport is usually governed by a set of rules or customs which serve to ensure fair competition and allow consistent adjudication of the winner winning can be determined by physical events such as scoring goals or crossing a line first it can also be determined by judges who are scoring elements of the sporting performance including objective or subjective measures such as technical performance or artistic impression records of performance are often kept and for popular sports this information may be widely announced or reported in sport news sport is also a major source of entertainment for with spectator sport drawing large crowds to sport venues and reaching wider audiences through broadcasting sport betting is in some cases severely regulated and in some cases is central to the sport according to kearney a consultancy the global sporting industry is worth up to 620 billion as of 2013 the world most accessible and practised sport is running while association football is the most popular spectator sport the word sport comes from the old french desport meaning leisure with the oldest definition in english from around 1300 being anything humans find amusing or entertaining other meanings include gambling and events staged for the purpose of gambling hunting and games and diversions including ones that require exercise roget defines the noun sport as an activity engaged in for relaxation and amusement with synonyms including diversion and recreation the singular term sport is used in most english dialects to describe the overall concept children taking part in sport with sports used to describe multiple activities football and rugby are the most popular sports in england american english uses sports for both terms the precise definition of what differentiates a sport from other leisure activities varies between sources the closest to an international agreement on a definition is provided by the global association of international sports federations gaisf which is the association for all the largest international sports federations including association football athletics cycling tennis equestrian sports and more and is therefore the de facto representative of international sport gaisf uses the following criteria determining that a sport should they also recognise that sport can be primarily physical such as rugby or athletics primarily mind such as chess or go predominantly motorised such as formula 1 or powerboating primarily such as snooker and other cue sports or primarily such as equestrian sport the inclusion of mind sports within sport definitions has not been universally accepted leading to legal challenges from governing bodies in regards to being denied funding available to sports whilst gaisf recognises a small number of mind sports it is not open to admitting any further mind sports there has been an increase in the application of the term sport to a wider set of challenges such as video games also called esports from electronic sports especially due to the large scale of participation and organised competition but these are not widely recognised by mainstream sports organisations according to council of europe european sports charter article means all forms of physical activity which through casual or organised participation aim at expressing or improving physical fitness and mental forming social relationships or obtaining results in competition at all levels there are opposing views on the necessity of competition as a defining element of a sport with almost all professional sports involving competition and governing bodies requiring competition as a prerequisite of recognition by the international olympic committee ioc or gaisf other bodies advocate widening the definition of sport to include all physical activity for instance the council of europe include all forms of physical exercise including those competed just for fun in order to widen participation and reduce the impact of losing on less able participants there has been an introduction of physical activity to traditionally competitive events such as school sports days although moves like this are often controversial in competitive events participants are graded or classified based on their result and often divided into groups of comparable performance gender weight and age the measurement of the result may be objective or subjective and corrected with handicaps or penalties in a race for example the time to complete the course is an objective measurement in gymnastics or diving the result is decided by a panel of judges and therefore subjective there are many shades of judging between boxing and mixed martial arts where victory is assigned by judges if neither,Sports
1,casa do pessoal do porto do lobito or simply known as cppl is an angolan multisports club based in lobito benguela the club handball team competes at the domestic level at the benguela provincial handball championship and at the angola women handball league the club is named after its major sponsor the lobito harbour updated as of june 2016 wingers other players technical staff,Sports
2,gombe united football club is a nigerian football club based in gombe they play in the nigeria professional football league their home stadium is the new pantami stadium having moved from abubakar umar memorial stadium in 2010 they were continuously in the nigerian top flight since promotion in 1994 the longest tenure of any northern team they however were relegated on the last day in the 2014 season to the nigeria national league for the first time in 20 years they won promotion back to the top level on the last day of the 2016 season by winning their division they were relegated back in 2019 as of 30 january 2019 note flags indicate national team as defined under fifa eligibility rules players may hold more than one nationality 2 gombe united results current results of gombe united matches this article about a nigerian football club is a stub you can help wikipedia by expanding it,Sports
3,aibi international is a company operating in the health industry it produces and distributes beauty health and fitness products such as treadmills elliptical trainers and inversion machines it was originally established in 1985 in singapore this singaporean corporation or company article is a stub you can help wikipedia by expanding it this article is a stub you can help wikipedia by expanding it,Sports
4,an airboard is an inflatable bodyboard for the snow it is a sled this article is a stub you can help wikipedia by expanding it,Sports
5,ali on the run is a fitness podcast hosted by race announcer blogger and former journalist ali feller over the podcast more than five hundred episodes feller subjects have ranged from everyday runners to olympic marathoners and she talks about issues that face the entire running community the podcast is amongst the top running podcasts and is ranked as the 1 running podcast by chartable feller lives in new hampshire but began her podcast in 2017 while living in new jersey following a career writing for a number of fitness and dance publications ali feller was raised in hopkinton new hampshire and began running when she was living in new york city after college and could afford a gym membership she is an announcer for new millennium running and has announced for world marathon major races including the new york city marathon and boston marathon ali is married to entrepreneur brian cristiano and together they have a daughter annie this article about podcasting is a stub you can help wikipedia by expanding it this article is a stub you can help wikipedia by expanding it,Sports
6,aquabiking also called aqua cycling is the combination of water sports and cycling sports two activities share the term one is an underwater indoor cycling and the other is a race featuring swimming and cycling stages this multisport triathlon adventure racing or other endurance related article is a stub you can help wikipedia by expanding it,Sports
7,an assault course also called trim trail is a trail or course that combines running and exercising it was more popular in the 1970s than it is now it is often used in military training the prime use is to evaluate progress and weaknesses of the individual or the team involved the term assault course can be replaced by obstacle course which some view as more accurate confidence courses is another term used there are also specific urban obstacle courses and night obstacles courses an obstacle course race ocr is a civilian sporting and fitness challenge event which combines obstacles and cross country running assault courses are used in military training to increase fitness to demonstrate techniques that can be used for crossing obstacles and to increase teamwork and military assault courses help develop physical fitness strength stamina mobility technique such as how to climb over walls and lower oneself safely teamwork especially on obstacles that can only be crossed as a team such a high walls mental ability overcoming challenges and fears by personal courage and determination often military assault courses will be standardised and will have for example in the uk a and a wall a climbing net some type of bar to climb over and a high rope or net that must be crossed these being or representing the most likely difficult terrain that a soldier will come across the standardisation means that every course will be to the same quality though it also means that there will be certain parts that may be familiar if practised however they have different purposes for example they can be short less than a minute with a rifle range on the end junior leaders folkestone or long five minutes as at thetford this is partially because of space restraints and training objectives the short one can be run as an individual course and a warmup for the range the long thetford course is more of an exercise in endurance and teamwork individual obstacles can be for general fitness of for quite specific task such as cargo nets which simulates soldiers climbing down nets from ships into landing craft for beachhead landings climbing through windows is a useful skill when operating in areas and climbing ladders and over walls proved useful on recent operations worldwide common assault course obstacles include barbed wire or nets to crawl under pipes or tunnels to crawl through walls to climb over beams walls or planks to balance on steps to climb up walls with window size holes to climb through and mazes to negotiate overhead traverse monkey bars are popular whilst the primary role of a military assault course is to improve fitness they are also used for the assessment of personnel to see if they are suitable for a specific role for example in the british military potential paratroopers have to complete the british army s parachute regiment s trainasium as one of the test to be allowed to progress to parachute training and the royal marine s bottom field assault course has to be completed as one of the test for the award of the commando green beret both of these assault courses have obstacles which provide a physical and psychological challenge to those completing them the trainasium has a lot of high obstacles and bottom field include a lot of obstacles with water the german army einzelkampferlehrgang individual battle course a combat survival course uses a timed assault course as one of its entry test for the basic einzelkampferlehrgang course it must be completed in 2 min 15 sec and for the advanced course in 1 min 50 sec the conseil international du sport militaire s cism military pentathlon obstacle course there are 5 parts of the cism military pentathlon shooting obstacle swimming grenade throwing cross country running and an obstacle course the obstacle course is the signature event of the military pentathlon and is 500 metres long with 20 standard obstacles rope ladder double beam trip wires crawl vault balance beam sloping wall with rope horizontal beams irish table tunnel and twin beams four steps ramp and ditch low wall 2m deep pit vertical ladder high wall zigzag balance beam chicane three low walls close together the women s competition omits the rope ladder sloping wall with rope four steps and vertical ladder international naval obstacle course competitions are similar and have additional naval type task such as closing and securing hatches these competitions are run in sports clothing and can be individual or team events with each team member covering a section of the course the military pentathalon obstacle course are completed in around 2 minutes the cism obstacle course design is used by many armed forces around the world the chinese people liberation army has a standard assault course test which is 400m long and the soldier negotiates 16 obstacles the assault course is 100m long with 8 obstacles the test starts with a 100m run along the side of the assault course and then turn about then 1 cross the stepping stones using only 3 in one row 2 leap across a 2m wide 2m deep vertical sided trench 3 climb over a high wall 4 climb onto a high platform cross over on to two other lower platforms to 5 move along the top of a horizontal ladder 6 traverse the balance beam 7 climb over the high wall 8 crawl under six tripwires then turn around 9 step over six tripwires 10 climb over the high weave in and out of the 4 support post for the balance beam 12 swing under the horizontal ladder 13 cross two platforms to the high platform and jump down 14 climb through a wide and high hole in the low wall 15 climb into the 2m wide 2m deep trench and out the other side 16 cross all 5 stepping stones then turn around and sprint the final 100m to the the standard for under 24 year old is,Sports
8,avestavallen is a sports complex in avesta it is located on the vallgatan road just south of the centre of the municipality the clubhouse and association football pitches are used by the football team avesta aik adjacent to the pitch is the main avestavallen arean which hosts athletics the complex is also used for speed skating and ice hockey a motorcycle speedway track existed where the athletics track is now found it hosted the speedway team masarna from to 1979 and hosted a qualifying round of the speedway world championship in 1969 this article is a stub you can help wikipedia by expanding it,Sports
9,balloon baloun or is a game similar to the modern game of volleyball in which a leather ball is batted by the fist or forearm to prevent it from touching the ground the game was played in ancient rome where it was known as follis the latin word for a leather bag such a ball made of leather was quite heavy and so protection might be used such as a leather gauntlet or wooden bracer the roman game was considered a sport for boys and old men as martial wrote ite procul juvenes mitis mihi convenit ætas folle decet pueros ludere folle senes go away young men a gentle age suits me the balloon is for boys to play with likewise old men once rubber became available modern players in great britain played the game with lighter balls of inflated rubber allowing younger children to join in this ancient article is a stub you can help wikipedia by expanding it this article is a stub you can help wikipedia by expanding it,Sports
